event_id,severity,channel,triggered_at,delivered_at,delivery_latency_sec,sla_sec,delivered_within_sla,message
ALRT-001,P1,ops-notify-simulated,2026-03-05T14:59:03,2026-03-05T15:01:41,158,300,True,P1 drill signal #1
ALRT-002,P1,ops-notify-simulated,2026-03-05T15:02:03,2026-03-05T15:03:02,59,300,True,P1 drill signal #2
ALRT-003,P1,ops-notify-simulated,2026-03-05T15:05:03,2026-03-05T15:07:43,160,300,True,P1 drill signal #3
ALRT-004,P1,ops-notify-simulated,2026-03-05T15:08:03,2026-03-05T15:09:52,109,300,True,P1 drill signal #4
ALRT-005,P1,ops-notify-simulated,2026-03-05T15:11:03,2026-03-05T15:13:46,163,300,True,P1 drill signal #5
ALRT-006,P1,ops-notify-simulated,2026-03-05T15:14:03,2026-03-05T15:16:26,143,300,True,P1 drill signal #6
ALRT-007,P1,ops-notify-simulated,2026-03-05T15:17:03,2026-03-05T15:19:02,119,300,True,P1 drill signal #7
ALRT-008,P1,ops-notify-simulated,2026-03-05T15:20:03,2026-03-05T15:22:31,148,300,True,P1 drill signal #8
ALRT-009,P1,ops-notify-simulated,2026-03-05T15:23:03,2026-03-05T15:25:27,144,300,True,P1 drill signal #9
ALRT-010,P1,ops-notify-simulated,2026-03-05T15:26:03,2026-03-05T15:27:11,68,300,True,P1 drill signal #10
ALRT-011,P1,ops-notify-simulated,2026-03-05T15:29:03,2026-03-05T15:31:39,156,300,True,P1 drill signal #11
ALRT-012,P1,ops-notify-simulated,2026-03-05T15:32:03,2026-03-05T15:33:42,99,300,True,P1 drill signal #12
ALRT-013,P2,ops-notify-simulated,2026-03-05T15:35:03,2026-03-05T15:35:38,35,600,True,P2 drill signal #13
ALRT-014,P2,ops-notify-simulated,2026-03-05T15:38:03,2026-03-05T15:44:37,394,600,True,P2 drill signal #14
ALRT-015,P2,ops-notify-simulated,2026-03-05T15:41:03,2026-03-05T15:42:40,97,600,True,P2 drill signal #15
ALRT-016,P2,ops-notify-simulated,2026-03-05T15:44:03,2026-03-05T15:47:21,198,600,True,P2 drill signal #16
ALRT-017,P2,ops-notify-simulated,2026-03-05T15:47:03,2026-03-05T15:49:25,142,600,True,P2 drill signal #17
ALRT-018,P2,ops-notify-simulated,2026-03-05T15:50:03,2026-03-05T15:56:35,392,600,True,P2 drill signal #18
ALRT-019,P2,ops-notify-simulated,2026-03-05T15:53:03,2026-03-05T15:54:56,113,600,True,P2 drill signal #19
ALRT-020,P2,ops-notify-simulated,2026-03-05T15:56:03,2026-03-05T16:01:57,354,600,True,P2 drill signal #20
ALRT-021,P2,ops-notify-simulated,2026-03-05T15:59:03,2026-03-05T16:02:36,213,600,True,P2 drill signal #21
ALRT-022,P2,ops-notify-simulated,2026-03-05T16:02:03,2026-03-05T16:09:02,419,600,True,P2 drill signal #22
ALRT-023,P2,ops-notify-simulated,2026-03-05T16:05:03,2026-03-05T16:08:28,205,600,True,P2 drill signal #23
ALRT-024,P2,ops-notify-simulated,2026-03-05T16:08:03,2026-03-05T16:09:25,82,600,True,P2 drill signal #24
