event_id,severity,channel,triggered_at,delivered_at,delivery_latency_sec,sla_sec,delivered_within_sla,message
ALRT-001,P1,ops-notify-simulated,2026-03-05T16:07:15,2026-03-05T16:09:53,158,300,True,P1 drill signal #1
ALRT-002,P1,ops-notify-simulated,2026-03-05T16:10:15,2026-03-05T16:11:14,59,300,True,P1 drill signal #2
ALRT-003,P1,ops-notify-simulated,2026-03-05T16:13:15,2026-03-05T16:15:55,160,300,True,P1 drill signal #3
ALRT-004,P1,ops-notify-simulated,2026-03-05T16:16:15,2026-03-05T16:18:04,109,300,True,P1 drill signal #4
ALRT-005,P1,ops-notify-simulated,2026-03-05T16:19:15,2026-03-05T16:21:58,163,300,True,P1 drill signal #5
ALRT-006,P1,ops-notify-simulated,2026-03-05T16:22:15,2026-03-05T16:24:38,143,300,True,P1 drill signal #6
ALRT-007,P1,ops-notify-simulated,2026-03-05T16:25:15,2026-03-05T16:27:14,119,300,True,P1 drill signal #7
ALRT-008,P1,ops-notify-simulated,2026-03-05T16:28:15,2026-03-05T16:30:43,148,300,True,P1 drill signal #8
ALRT-009,P1,ops-notify-simulated,2026-03-05T16:31:15,2026-03-05T16:33:39,144,300,True,P1 drill signal #9
ALRT-010,P1,ops-notify-simulated,2026-03-05T16:34:15,2026-03-05T16:35:23,68,300,True,P1 drill signal #10
ALRT-011,P1,ops-notify-simulated,2026-03-05T16:37:15,2026-03-05T16:39:51,156,300,True,P1 drill signal #11
ALRT-012,P1,ops-notify-simulated,2026-03-05T16:40:15,2026-03-05T16:41:54,99,300,True,P1 drill signal #12
ALRT-013,P2,ops-notify-simulated,2026-03-05T16:43:15,2026-03-05T16:43:50,35,600,True,P2 drill signal #13
ALRT-014,P2,ops-notify-simulated,2026-03-05T16:46:15,2026-03-05T16:52:49,394,600,True,P2 drill signal #14
ALRT-015,P2,ops-notify-simulated,2026-03-05T16:49:15,2026-03-05T16:50:52,97,600,True,P2 drill signal #15
ALRT-016,P2,ops-notify-simulated,2026-03-05T16:52:15,2026-03-05T16:55:33,198,600,True,P2 drill signal #16
ALRT-017,P2,ops-notify-simulated,2026-03-05T16:55:15,2026-03-05T16:57:37,142,600,True,P2 drill signal #17
ALRT-018,P2,ops-notify-simulated,2026-03-05T16:58:15,2026-03-05T17:04:47,392,600,True,P2 drill signal #18
ALRT-019,P2,ops-notify-simulated,2026-03-05T17:01:15,2026-03-05T17:03:08,113,600,True,P2 drill signal #19
ALRT-020,P2,ops-notify-simulated,2026-03-05T17:04:15,2026-03-05T17:10:09,354,600,True,P2 drill signal #20
ALRT-021,P2,ops-notify-simulated,2026-03-05T17:07:15,2026-03-05T17:10:48,213,600,True,P2 drill signal #21
ALRT-022,P2,ops-notify-simulated,2026-03-05T17:10:15,2026-03-05T17:17:14,419,600,True,P2 drill signal #22
ALRT-023,P2,ops-notify-simulated,2026-03-05T17:13:15,2026-03-05T17:16:40,205,600,True,P2 drill signal #23
ALRT-024,P2,ops-notify-simulated,2026-03-05T17:16:15,2026-03-05T17:17:37,82,600,True,P2 drill signal #24
